"","ident","Successes","anwesend","valid","Sucess_share","enthaltung","Name","PersonNumber","ParlGroupName"
"188","Rudolf Winkler_Fraktion BD",162,168,165,0.964285714285714,3,"Rudolf Winkler",4148,"Fraktion BD"
"189","Ruedi Lustenberger_Fraktion CVP-EVP",460,523,497,0.879541108986616,26,"Ruedi Lustenberger",490,"Fraktion CVP-EVP"
"190","Ruedi Noser_FDP-Liberale Fraktion",618,683,671,0.904831625183016,12,"Ruedi Noser",1153,"FDP-Liberale Fraktion"
"191","Ruth Humbel_Fraktion CVP-EVP",701,721,716,0.972260748959778,5,"Ruth Humbel",1071,"Fraktion CVP-EVP"
"192","Sebastian Frehner_Fraktion der Schweizerischen Volkspartei",350,683,656,0.512445095168375,27,"Sebastian Frehner",4042,"Fraktion der Schweizerischen Volkspartei"
"193","Silva Semadeni_Sozialdemokratische Fraktion",618,747,704,0.827309236947791,43,"Silva Semadeni",354,"Sozialdemokratische Fraktion"
"194","Silvia Schenker_Sozialdemokratische Fraktion",603,749,700,0.805073431241656,49,"Silvia Schenker",1129,"Sozialdemokratische Fraktion"
"195","Stefan Müller-Altermatt_Fraktion CVP-EVP",689,714,704,0.964985994397759,10,"Stefan Müller-Altermatt",4063,"Fraktion CVP-EVP"
"196","Stéphane Rossini_Sozialdemokratische Fraktion",443,545,509,0.812844036697248,36,"Stéphane Rossini",504,"Sozialdemokratische Fraktion"
"197","Susanne Leutenegger Oberholzer_Sozialdemokratische Fraktion",590,735,688,0.802721088435374,47,"Susanne Leutenegger Oberholzer",487,"Sozialdemokratische Fraktion"
"198","Sylvia Flückiger-Bäni_Fraktion der Schweizerischen Volkspartei",388,725,682,0.535172413793103,43,"Sylvia Flückiger-Bäni",3878,"Fraktion der Schweizerischen Volkspartei"
"199","Sylvie Perrinjaquet_FDP-Liberale Fraktion",368,386,382,0.953367875647668,4,"Sylvie Perrinjaquet",3900,"FDP-Liberale Fraktion"
"200","Thomas Aeschi_Fraktion der Schweizerischen Volkspartei",363,751,692,0.48335552596538,59,"Thomas Aeschi",4053,"Fraktion der Schweizerischen Volkspartei"
"201","Thomas Böhni_Grünliberale Fraktion",663,710,705,0.933802816901408,5,"Thomas Böhni",4050,"Grünliberale Fraktion"
"202","Thomas de Courten_Fraktion der Schweizerischen Volkspartei",365,710,652,0.514084507042254,58,"Thomas de Courten",4051,"Fraktion der Schweizerischen Volkspartei"
"203","Thomas Hardegger_Sozialdemokratische Fraktion",613,728,694,0.842032967032967,34,"Thomas Hardegger",4061,"Sozialdemokratische Fraktion"
"204","Thomas Hurter_Fraktion der Schweizerischen Volkspartei",450,730,675,0.616438356164384,55,"Thomas Hurter",3890,"Fraktion der Schweizerischen Volkspartei"
"205","Thomas Maier_Grünliberale Fraktion",667,725,720,0.92,5,"Thomas Maier",4117,"Grünliberale Fraktion"
"206","Thomas Matter_Fraktion der Schweizerischen Volkspartei",142,290,276,0.489655172413793,14,"Thomas Matter",4144,"Fraktion der Schweizerischen Volkspartei"
"207","Thomas Müller_Fraktion der Schweizerischen Volkspartei",445,720,696,0.618055555555556,24,"Thomas Müller",1345,"Fraktion der Schweizerischen Volkspartei"
"208","Thomas Weibel_Grünliberale Fraktion",687,743,735,0.924629878869448,8,"Thomas Weibel",3931,"Grünliberale Fraktion"
"209","Tiana Angelina Moser_Grünliberale Fraktion",636,684,682,0.929824561403509,2,"Tiana Angelina Moser",3897,"Grünliberale Fraktion"
"210","Toni Bortoluzzi_Fraktion der Schweizerischen Volkspartei",308,662,645,0.465256797583082,17,"Toni Bortoluzzi",28,"Fraktion der Schweizerischen Volkspartei"
"211","Toni Brunner_Fraktion der Schweizerischen Volkspartei",343,706,672,0.485835694050992,34,"Toni Brunner",307,"Fraktion der Schweizerischen Volkspartei"
"212","Ueli Leuenberger_Grüne Fraktion",570,708,661,0.805084745762712,47,"Ueli Leuenberger",1065,"Grüne Fraktion"
"213","Ulrich Giezendanner_Fraktion der Schweizerischen Volkspartei",398,659,653,0.603945371775417,6,"Ulrich Giezendanner",91,"Fraktion der Schweizerischen Volkspartei"
"214","Urs Gasche_Fraktion BD",645,677,663,0.952732644017725,14,"Urs Gasche",4071,"Fraktion BD"
"215","Urs Schläfli_Fraktion CVP-EVP",725,750,742,0.966666666666667,8,"Urs Schläfli",4122,"Fraktion CVP-EVP"
"216","Ursula Haller Vannini_Fraktion BD",519,532,528,0.975563909774436,4,"Ursula Haller Vannini",472,"Fraktion BD"
"217","Ursula Schneider Schüttel_Sozialdemokratische Fraktion",532,629,604,0.845786963434022,25,"Ursula Schneider Schüttel",4123,"Sozialdemokratische Fraktion"
"218","Ursula Wyss_Sozialdemokratische Fraktion",170,199,186,0.85427135678392,13,"Ursula Wyss",522,"Sozialdemokratische Fraktion"
"219","Valérie Piller Carrard_Sozialdemokratische Fraktion",606,705,682,0.859574468085106,23,"Valérie Piller Carrard",4109,"Sozialdemokratische Fraktion"
"220","Verena Herzog_Fraktion der Schweizerischen Volkspartei",276,490,471,0.563265306122449,19,"Verena Herzog",4129,"Fraktion der Schweizerischen Volkspartei"
"221","Viola Amherd_Fraktion CVP-EVP",711,734,726,0.96866485013624,8,"Viola Amherd",1288,"Fraktion CVP-EVP"
"222","Walter Müller_FDP-Liberale Fraktion",610,699,678,0.872675250357654,21,"Walter Müller",1137,"FDP-Liberale Fraktion"
"223","Walter Wobmann_Fraktion der Schweizerischen Volkspartei",365,745,726,0.48993288590604,19,"Walter Wobmann",1142,"Fraktion der Schweizerischen Volkspartei"
"224","Yannick Buttet_Fraktion CVP-EVP",682,719,707,0.948539638386648,12,"Yannick Buttet",4086,"Fraktion CVP-EVP"
"225","Yvan Perrin_Fraktion der Schweizerischen Volkspartei",230,350,336,0.657142857142857,14,"Yvan Perrin",1145,"Fraktion der Schweizerischen Volkspartei"
"226","Yves Nidegger_Fraktion der Schweizerischen Volkspartei",370,704,637,0.525568181818182,67,"Yves Nidegger",3898,"Fraktion der Schweizerischen Volkspartei"
"227","Yvette Estermann_Fraktion der Schweizerischen Volkspartei",391,755,724,0.517880794701987,31,"Yvette Estermann",3876,"Fraktion der Schweizerischen Volkspartei"
"228","Yvonne Feri_Sozialdemokratische Fraktion",606,741,695,0.817813765182186,46,"Yvonne Feri",4069,"Sozialdemokratische Fraktion"
"229","Yvonne Gilli_Grüne Fraktion",558,682,634,0.818181818181818,48,"Yvonne Gilli",3881,"Grüne Fraktion"
