"","ID","RegistrationNumber","BusinessTitle","IdLegislativePeriod","IdSession","Subject","SessionName"
"705",17376,13636,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 9 Abs. 2","Sommersession 2016"
"706",17377,13637,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"1. Mineralölsteuergesetz - Art. 12 Abs. 2","Sommersession 2016"
"707",17378,13638,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"1. Mineralölsteuergesetz - Art. 12 Abs. 2","Sommersession 2016"
"708",17379,13639,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"1. Mineralölsteuergesetz - Art. 12d","Sommersession 2016"
"709",17380,13640,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"4. Bundesgesetz über die Verwendung der zweckgebundenen Mineralölsteuer und der Nationalstrassenabgabe
Art. 17a Abs. 2","Sommersession 2016"
"710",17381,13641,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"4. Bundesgesetz über die Verwendung der zweckgebundenen Mineralölsteuer und der Nationalstrassenabgabe
Art. 17d Abs. 1","Sommersession 2016"
"711",17382,13642,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"4. Bundesgesetz über die Verwendung der zweckgebundenen Mineralölsteuer und der Nationalstrassenabgabe
Art. 17d Abs. 3","Sommersession 2016"
"712",17383,13643,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"4. Bundesgesetz über die Verwendung der zweckgebundenen Mineralölsteuer und der Nationalstrassenabgabe
Art. 17d Abs. 2 Bst. a und abis","Sommersession 2016"
"713",17384,13644,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"4. Bundesgesetz über die Verwendung der zweckgebundenen Mineralölsteuer und der Nationalstrassenabgabe
Art. 17a Abs. 2","Sommersession 2016"
"714",17386,13646,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Ordnungsantrag Amstutz (Wiederholung der Abstimmung zu Art. 17a Abs. 2","Sommersession 2016"
"715",17387,13647,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Gesamtabstimmung","Sommersession 2016"
"716",17388,13648,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"N15 Brüttisellen - Wetzikon - Rapperswil - Reichenburg","Sommersession 2016"
"717",17390,13650,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Gesamtabstimmung","Sommersession 2016"
"718",17391,13651,"E-Vignette",50,5004,NA,"Sommersession 2016"
"719",17392,13652,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Gesamtabstimmung","Sommersession 2016"
"720",17393,13653,"Bessere Koordination zwischen Raum- und Verkehrsplanung",50,5004,NA,"Sommersession 2016"
"721",17394,13654,"Eine Staatssekretärin oder einen Staatssekretär für die schweizerische Verkehrspolitik",50,5004,NA,"Sommersession 2016"
"722",17395,13655,"Vereinfachung der Bewilligungsverfahren für Berufschauffeure",50,5004,NA,"Sommersession 2016"
"723",17396,13656,"Kosten der Klimaerwärmung für die Schweiz und verursachergerechte Finanzierung der Schutzmassnahmen prüfen",50,5004,NA,"Sommersession 2016"
"724",17397,13657,"Aktivitäten der Schweizerischen Post im Ausland. Für die Einhaltung der vom Bundesrat festgelegten Grundsätze sorgen",50,5004,NA,"Sommersession 2016"
"725",17399,13659,"Ausbau der inländischen erneuerbaren Energien von 2020 bis 2035",50,5004,NA,"Sommersession 2016"
"726",17402,13662,"Einzelhaltung von Lamas als Herdenschutz gegen Luchse ermöglichen",50,5004,NA,"Sommersession 2016"
"727",17403,13663,"Freiräume in städtischen Siedlungsgebieten",50,5004,NA,"Sommersession 2016"
"728",17408,13668,"Verstärkung der Massnahmen gegen das Liegenlassen von Abfällen (Littering)",50,5004,"Eintreten","Sommersession 2016"
"729",17410,13670,"Gegen die Aufhebung der indirekten Presseförderung ohne glaubwürdige Alternative",50,5004,NA,"Sommersession 2016"
"730",17411,13671,"Modernisierung der Mobilfunknetze raschestmöglich sicherstellen",50,5004,NA,"Sommersession 2016"
"731",17412,13672,"Baubewilligungsverfahren für Mobilfunkantennen",50,5004,NA,"Sommersession 2016"
"732",17413,13673,"Gleichbehandlung der Speichertechnologien beim Netzentgelt",50,5004,NA,"Sommersession 2016"
"733",17414,13674,"Massnahmenplan für die Förderung des Langsamverkehrs im Rahmen der Energiestrategie",50,5004,NA,"Sommersession 2016"
"734",17415,13675,"Rahmenbedingungen für eine lohnende Klimapolitik jetzt setzen",50,5004,NA,"Sommersession 2016"
"735",17416,13676,"SBB-Linie Yverdon-Payerne. Der Bundesrat muss den Schienengüterverkehr beibehalten!",50,5004,NA,"Sommersession 2016"
"736",17417,13677,"Einführung einer eidgenössischen Jagdberechtigung",50,5004,NA,"Sommersession 2016"
"737",17418,13678,"Synthetische, CO2-neutrale Treibstoffe. Anrechnung bei der CO2-Flottenemissionsregelung",50,5004,NA,"Sommersession 2016"
"738",17419,13679,"Schweizer Helikopter fliegen gemäss schweizerischem Recht",50,5004,NA,"Sommersession 2016"
"739",17421,13681,"Kapazitätsplanung bei Kehrichtverbrennungsanlagen mit Abwärmenutzung",50,5004,NA,"Sommersession 2016"
"740",17422,13682,"Aufhebung der Pflicht zur Benützung von Radwegen",50,5004,NA,"Sommersession 2016"
"741",17424,13684,"Wiedereröffnung des Autobahnanschlusses Emmen Nord",50,5004,NA,"Sommersession 2016"
"742",17425,13685,"Verzicht auf unverhältnismässige Auflagen im Hinblick auf die Umsetzung der Energiestrategie 2050",50,5004,NA,"Sommersession 2016"
"743",17426,13686,"Entwicklung von schweizerischen Solardrohnen und Pseudosatelliten",50,5004,NA,"Sommersession 2016"
"744",17427,13687,"Stärkung der Sicherheit. Wiedereinführung und Verstärkung der Grenzkontrollen",50,5004,NA,"Sommersession 2016"
"745",17428,13688,"Selbstregulierung als Prüfkriterium in Botschaften und Erlassentwürfen",50,5004,NA,"Sommersession 2016"
"746",17429,13689,"Mehr Transparenz. Regelung bei Spenden",50,5004,NA,"Sommersession 2016"
"747",17430,13690,"Mehr Transparenz. Regelung für Informationsreisen",50,5004,NA,"Sommersession 2016"
"748",17431,13691,"Welche juristischen Hürden behindern die energetische Sanierung von Stockwerkeigentum?",50,5004,NA,"Sommersession 2016"
"749",17432,13692,"Sexting bekämpfen",50,5004,NA,"Sommersession 2016"
"750",17434,13694,"Obligatorisches Referendum für alle Beiträge, die ins Ausland fliessen",50,5004,NA,"Sommersession 2016"
"751",17435,13695,"Vereinbarkeitsprüfung der aktuellen gesetzlichen Regelung der Unterhaltspflicht",50,5004,NA,"Sommersession 2016"
"752",17437,13697,"Beschleunigtes Asylverfahren auch für Personen aus Safe Countries",50,5004,NA,"Sommersession 2016"
"753",17439,13699,"Gemeindefusionen über die Kantonsgrenzen hinweg",50,5004,NA,"Sommersession 2016"
"754",17442,13702,"Gleich lange Spiesse für die inländische Nahrungsmittelproduktion und für Nahrungsmittelimporte",50,5004,NA,"Sommersession 2016"
"755",17443,13703,"Bericht zur Wettbewerbs- und Ertragsfähigkeit der landwirtschaftlichen Produktion und zum Einsatz öffentlicher Mittel für die Landwirtschaft",50,5004,NA,"Sommersession 2016"
"756",17445,13705,"Tiere ab einem Alter von 121 Tagen an den öffentlichen Schlachtviehmärkten",50,5004,NA,"Sommersession 2016"
"757",17446,13706,"Schaffung einer Rechtsgrundlage für die Eintreibung von Beiträgen für überbetriebliche Kurse",50,5004,NA,"Sommersession 2016"
"758",17450,13710,"Food Waste eindämmen",50,5004,NA,"Sommersession 2016"
"759",17451,13711,"Arbeitslose mit psychischen Problemen. Stärkung der RAV",50,5004,NA,"Sommersession 2016"
